HOW,INDEX,LABEL,X,Y,Z,NPIX,T2,T2STD,T2CINT,FF,OUTLINE
VOLUME,NA,GAS_LAT_L,8.129183411587888,53.027169823642886,-708.6240234375,2800.0,33.612857142857145,7.7691775889191295,7.2107472364728125,0.2431515403471253,
SLICE,Z0,TA_R,8.129183411587888,53.027169823642886,-828.6240234375,,31.80590717299578,10.936925363799649,,,"[[70.0, 63.5], [69.5, 64.0], [69.5, 65.0], [69.5, 66.0], [70.0, 66.5], [71.0, 66.5], [71.5, 66.0], [72.0, 65.5], [73.0, 65.5], [74.0, 65.5], [75.0, 65.5], [76.0, 65.5], [77.0, 65.5], [78.0, 65.5], [79.0, 65.5], [79.5, 65.0], [80.0, 64.5], [81.0, 64.5], [82.0, 64.5], [82.5, 65.0], [83.0, 65.5], [84.0, 65.5], [84.5, 66.0], [85.0, 66.5], [86.0, 66.5], [86.5, 67.0], [86.5, 68.0], [87.0, 68.5], [87.5, 69.0], [88.0, 69.5], [88.5, 70.0], [89.0, 70.5], [89.5, 71.0], [90.0, 71.5], [91.0, 71.5], [91.5, 71.0], [91.5, 70.0], [91.5, 69.0], [91.5, 68.0], [91.5, 67.0], [91.0, 66.5], [90.5, 66.0], [90.5, 65.0], [90.5, 64.0], [90.5, 63.0], [90.5, 62.0], [91.0, 61.5], [91.5, 61.0], [91.5, 60.0], [91.5, 59.0], [91.0, 58.5], [90.0, 58.5], [89.5, 58.0], [89.5, 57.0], [89.0, 56.5], [88.5, 56.0], [88.0, 55.5], [87.5, 55.0], [87.0, 54.5], [86.5, 54.0], [86.5, 53.0], [86.0, 52.5], [85.5, 52.0], [85.0, 51.5], [84.0, 51.5], [83.0, 51.5], [82.5, 52.0], [82.0, 52.5], [81.0, 52.5], [80.5, 53.0], [80.0, 53.5], [79.0, 53.5], [78.5, 54.0], [78.0, 54.5], [77.0, 54.5], [76.5, 55.0], [76.0, 55.5], [75.5, 56.0], [75.0, 56.5], [74.5, 57.0], [74.0, 57.5], [73.5, 58.0], [73.0, 58.5], [72.5, 59.0], [72.5, 60.0], [72.0, 60.5], [71.0, 60.5], [70.5, 61.0], [70.5, 62.0], [70.5, 63.0]]"
SLICE,Z0,ED_R,8.129183411587888,53.027169823642886,-828.6240234375,,35.54601226993865,5.105875905325711,,,"[[69.0, 66.5], [68.5, 67.0], [68.5, 68.0], [68.5, 69.0], [68.5, 70.0], [68.5, 71.0], [68.5, 72.0], [68.5, 73.0], [68.5, 74.0], [68.5, 75.0], [68.5, 76.0], [68.5, 77.0], [68.5, 78.0], [69.0, 78.5], [69.5, 79.0], [70.0, 79.5], [71.0, 79.5], [72.0, 79.5], [72.5, 80.0], [73.0, 80.5], [74.0, 80.5], [74.5, 81.0], [75.0, 81.5], [76.0, 81.5], [77.0, 81.5], [78.0, 81.5], [79.0, 81.5], [79.5, 82.0], [80.0, 82.5], [81.0, 82.5], [82.0, 82.5], [83.0, 82.5], [84.0, 82.5], [85.0, 82.5], [85.5, 82.0], [86.0, 81.5], [87.0, 81.5], [88.0, 81.5], [88.5, 81.0], [89.0, 80.5], [89.5, 80.0], [89.5, 79.0], [90.0, 78.5], [90.5, 78.0], [91.0, 77.5], [91.5, 77.0], [91.5, 76.0], [91.5, 75.0], [91.5, 74.0], [91.0, 73.5], [90.5, 73.0], [90.0, 72.5], [89.5, 72.0], [89.5, 71.0], [89.0, 70.5], [88.5, 70.0], [88.0, 69.5], [87.5, 69.0], [87.0, 68.5], [86.5, 68.0], [86.5, 67.0], [86.0, 66.5], [85.0, 66.5], [84.5, 66.0], [84.0, 65.5], [83.0, 65.5], [82.5, 65.0], [82.0, 64.5], [81.0, 64.5], [80.0, 64.5], [79.5, 65.0], [79.0, 65.5], [78.0, 65.5], [77.0, 65.5], [76.0, 65.5], [75.0, 65.5], [74.0, 65.5], [73.0, 65.5], [72.0, 65.5], [71.5, 66.0], [71.0, 66.5], [70.0, 66.5]]"
SLICE,Z0,PER_R,8.129183411587888,53.027169823642886,-828.6240234375,,34.50558659217877,8.517397382737446,,,"[[69.0, 79.5], [68.5, 80.0], [68.5, 81.0], [68.5, 82.0], [68.5, 83.0], [68.5, 84.0], [68.5, 85.0], [68.5, 86.0], [68.5, 87.0], [68.5, 88.0], [68.5, 89.0], [69.0, 89.5], [69.5, 90.0], [69.5, 91.0], [70.0, 91.5], [70.5, 92.0], [70.5, 93.0], [70.5, 94.0], [71.0, 94.5], [71.5, 95.0], [71.5, 96.0], [72.0, 96.5], [72.5, 97.0], [73.0, 97.5], [73.5, 98.0], [73.5, 99.0], [74.0, 99.5], [75.0, 99.5], [75.5, 100.0], [75.5, 101.0], [76.0, 101.5], [77.0, 101.5], [78.0, 101.5], [78.5, 102.0], [79.0, 102.5], [80.0, 102.5], [80.5, 103.0], [81.0, 103.5], [82.0, 103.5], [83.0, 103.5], [84.0, 103.5], [85.0, 103.5], [86.0, 103.5], [87.0, 103.5], [88.0, 103.5], [89.0, 103.5], [90.0, 103.5], [91.0, 103.5], [91.5, 103.0], [91.5, 102.0], [91.5, 101.0], [91.5, 100.0], [91.5, 99.0], [91.5, 98.0], [91.5, 97.0], [91.0, 96.5], [90.5, 96.0], [90.5, 95.0], [90.0, 94.5], [89.5, 94.0], [89.5, 93.0], [89.5, 92.0], [89.0, 91.5], [88.0, 91.5], [87.5, 91.0], [87.0, 90.5], [86.0, 90.5], [85.0, 90.5], [84.5, 90.0], [84.5, 89.0], [84.0, 88.5], [83.5, 88.0], [83.0, 87.5], [82.5, 87.0], [82.5, 86.0], [82.0, 85.5], [81.5, 85.0], [81.5, 84.0], [81.5, 83.0], [81.0, 82.5], [80.0, 82.5], [79.5, 82.0], [79.0, 81.5], [78.0, 81.5], [77.0, 81.5], [76.0, 81.5], [75.0, 81.5], [74.5, 81.0], [74.0, 80.5], [73.0, 80.5], [72.5, 80.0], [72.0, 79.5], [71.0, 79.5], [70.0, 79.5]]"
SLICE,Z0,DLPC_R,8.129183411587888,53.027169823642886,-828.6240234375,,34.22857142857143,7.713941791275306,,,"[[88.0, 81.5], [87.5, 82.0], [88.0, 82.5], [89.0, 82.5], [90.0, 82.5], [90.5, 83.0], [90.5, 84.0], [90.5, 85.0], [90.0, 85.5], [89.5, 86.0], [89.5, 87.0], [89.0, 87.5], [88.5, 88.0], [88.5, 89.0], [88.0, 89.5], [87.5, 90.0], [87.5, 91.0], [88.0, 91.5], [89.0, 91.5], [89.5, 92.0], [89.5, 93.0], [89.5, 94.0], [90.0, 94.5], [90.5, 95.0], [90.5, 96.0], [91.0, 96.5], [91.5, 97.0], [91.5, 98.0], [91.5, 99.0], [92.0, 99.5], [93.0, 99.5], [94.0, 99.5], [95.0, 99.5], [96.0, 99.5], [96.5, 99.0], [97.0, 98.5], [98.0, 98.5], [98.5, 98.0], [99.0, 97.5], [99.5, 97.0], [100.0, 96.5], [101.0, 96.5], [101.5, 96.0], [102.0, 95.5], [102.5, 95.0], [103.0, 94.5], [104.0, 94.5], [105.0, 94.5], [105.5, 94.0], [106.0, 93.5], [106.5, 93.0], [106.5, 92.0], [107.0, 91.5], [108.0, 91.5], [109.0, 91.5], [109.5, 91.0], [110.0, 90.5], [110.5, 90.0], [111.0, 89.5], [111.5, 89.0], [112.0, 88.5], [113.0, 88.5], [113.5, 88.0], [114.0, 87.5], [114.5, 87.0], [114.5, 86.0], [114.5, 85.0], [115.0, 84.5], [116.0, 84.5], [116.5, 84.0], [116.5, 83.0], [116.5, 82.0], [116.5, 81.0], [116.5, 80.0], [116.5, 79.0], [116.5, 78.0], [116.5, 77.0], [116.5, 76.0], [116.5, 75.0], [116.5, 74.0], [116.5, 73.0], [116.5, 72.0], [116.5, 71.0], [116.0, 70.5], [115.5, 70.0], [115.5, 69.0], [115.0, 68.5], [114.5, 68.0], [114.0, 67.5], [113.5, 67.0], [113.5, 66.0], [113.0, 65.5], [112.0, 65.5], [111.5, 65.0], [111.5, 64.0], [111.0, 63.5], [110.0, 63.5], [109.0, 63.5], [108.0, 63.5], [107.0, 63.5], [106.0, 63.5], [105.5, 64.0], [105.5, 65.0], [105.0, 65.5], [104.0, 65.5], [103.5, 66.0], [103.5, 67.0], [103.0, 67.5], [102.5, 68.0], [102.0, 68.5], [101.0, 68.5], [100.0, 68.5], [99.5, 69.0], [99.0, 69.5], [98.0, 69.5], [97.0, 69.5], [96.5, 70.0], [96.0, 70.5], [95.0, 70.5], [94.0, 70.5], [93.0, 70.5], [92.0, 70.5], [91.5, 71.0], [91.0, 71.5], [90.5, 72.0], [90.5, 73.0], [91.0, 73.5], [91.5, 74.0], [91.5, 75.0], [91.5, 76.0], [91.5, 77.0], [91.0, 77.5], [90.5, 78.0], [90.0, 78.5], [89.5, 79.0], [89.5, 80.0], [89.0, 80.5], [88.5, 81.0]]"
SLICE,Z0,POP_R,8.129183411587888,53.027169823642886,-828.6240234375,,,,,,
SLICE,Z0,SOL_R,8.129183411587888,53.027169823642886,-828.6240234375,,32.83969465648855,7.771612851846076,,,"[[83.0, 103.5], [82.5, 104.0], [83.0, 104.5], [83.5, 105.0], [83.5, 106.0], [83.5, 107.0], [84.0, 107.5], [84.5, 108.0], [85.0, 108.5], [85.5, 109.0], [86.0, 109.5], [87.0, 109.5], [87.5, 110.0], [88.0, 110.5], [89.0, 110.5], [89.5, 111.0], [90.0, 111.5], [91.0, 111.5], [92.0, 111.5], [93.0, 111.5], [94.0, 111.5], [95.0, 111.5], [96.0, 111.5], [97.0, 111.5], [98.0, 111.5], [99.0, 111.5], [100.0, 111.5], [101.0, 111.5], [102.0, 111.5], [103.0, 111.5], [104.0, 111.5], [104.5, 111.0], [105.0, 110.5], [106.0, 110.5], [106.5, 110.0], [107.0, 109.5], [108.0, 109.5], [109.0, 109.5], [109.5, 109.0], [110.0, 108.5], [111.0, 108.5], [111.5, 108.0], [111.5, 107.0], [112.0, 106.5], [113.0, 106.5], [114.0, 106.5], [114.5, 106.0], [114.5, 105.0], [115.0, 104.5], [116.0, 104.5], [116.5, 104.0], [116.5, 103.0], [116.5, 102.0], [117.0, 101.5], [117.5, 101.0], [118.0, 100.5], [118.5, 100.0], [119.0, 99.5], [119.5, 99.0], [119.5, 98.0], [119.5, 97.0], [119.5, 96.0], [119.5, 95.0], [120.0, 94.5], [120.5, 94.0], [120.5, 93.0], [120.5, 92.0], [120.5, 91.0], [120.5, 90.0], [120.5, 89.0], [120.5, 88.0], [120.5, 87.0], [120.5, 86.0], [120.5, 85.0], [120.5, 84.0], [120.0, 83.5], [119.5, 83.0], [119.5, 82.0], [119.5, 81.0], [119.0, 80.5], [118.5, 80.0], [118.0, 79.5], [117.0, 79.5], [116.5, 80.0], [116.5, 81.0], [116.5, 82.0], [116.5, 83.0], [116.5, 84.0], [116.0, 84.5], [115.0, 84.5], [114.5, 85.0], [114.5, 86.0], [114.5, 87.0], [114.0, 87.5], [113.5, 88.0], [113.0, 88.5], [112.0, 88.5], [111.5, 89.0], [111.0, 89.5], [110.5, 90.0], [110.0, 90.5], [109.5, 91.0], [109.0, 91.5], [108.0, 91.5], [107.0, 91.5], [106.5, 92.0], [106.5, 93.0], [106.0, 93.5], [105.5, 94.0], [105.0, 94.5], [104.0, 94.5], [103.0, 94.5], [102.5, 95.0], [102.0, 95.5], [101.5, 96.0], [101.0, 96.5], [100.0, 96.5], [99.5, 97.0], [99.0, 97.5], [98.5, 98.0], [98.0, 98.5], [97.0, 98.5], [96.5, 99.0], [96.0, 99.5], [95.0, 99.5], [94.0, 99.5], [93.0, 99.5], [92.0, 99.5], [91.5, 100.0], [91.5, 101.0], [91.5, 102.0], [91.5, 103.0], [91.0, 103.5], [90.0, 103.5], [89.0, 103.5], [88.0, 103.5], [87.0, 103.5], [86.0, 103.5], [85.0, 103.5], [84.0, 103.5]]"
SLICE,Z0,GAS_MED_R,8.129183411587888,53.027169823642886,-828.6240234375,,,,,,
SLICE,Z0,GAS_LAT_R,8.129183411587888,53.027169823642886,-828.6240234375,,,,,,
SLICE,Z0,TA_L,8.129183411587888,53.027169823642886,-828.6240234375,,31.60655737704918,11.382368719055975,,,"[[241.0, 67.5], [240.5, 68.0], [240.5, 69.0], [240.5, 70.0], [241.0, 70.5], [241.5, 71.0], [242.0, 71.5], [243.0, 71.5], [244.0, 71.5], [245.0, 71.5], [246.0, 71.5], [246.5, 71.0], [246.5, 70.0], [246.5, 69.0], [247.0, 68.5], [247.5, 68.0], [247.5, 67.0], [248.0, 66.5], [249.0, 66.5], [249.5, 66.0], [249.5, 65.0], [250.0, 64.5], [251.0, 64.5], [251.5, 64.0], [252.0, 63.5], [253.0, 63.5], [253.5, 63.0], [254.0, 62.5], [255.0, 62.5], [256.0, 62.5], [257.0, 62.5], [258.0, 62.5], [259.0, 62.5], [260.0, 62.5], [260.5, 63.0], [261.0, 63.5], [262.0, 63.5], [263.0, 63.5], [263.5, 64.0], [264.0, 64.5], [264.5, 64.0], [264.5, 63.0], [264.0, 62.5], [263.5, 62.0], [263.5, 61.0], [263.0, 60.5], [262.0, 60.5], [261.5, 60.0], [261.5, 59.0], [261.0, 58.5], [260.5, 58.0], [260.0, 57.5], [259.5, 57.0], [259.5, 56.0], [259.0, 55.5], [258.0, 55.5], [257.5, 55.0], [257.0, 54.5], [256.5, 54.0], [256.0, 53.5], [255.0, 53.5], [254.5, 53.0], [254.0, 52.5], [253.0, 52.5], [252.5, 52.0], [252.0, 51.5], [251.0, 51.5], [250.5, 51.0], [250.0, 50.5], [249.0, 50.5], [248.0, 50.5], [247.0, 50.5], [246.0, 50.5], [245.5, 51.0], [245.5, 52.0], [245.0, 52.5], [244.5, 53.0], [244.0, 53.5], [243.5, 54.0], [243.5, 55.0], [243.0, 55.5], [242.5, 56.0], [243.0, 56.5], [243.5, 57.0], [243.5, 58.0], [243.5, 59.0], [243.5, 60.0], [243.5, 61.0], [243.5, 62.0], [243.5, 63.0], [243.0, 63.5], [242.5, 64.0], [242.5, 65.0], [242.0, 65.5], [241.5, 66.0], [241.5, 67.0]]"
