# COMPUTER_NAME: GH01LV1
# DATE_CODE: 26-Apr-2022_171818
# DIR_CODE: R:\Rmn\9_Nos_Docs\TransfertCT\jm-traitement
# USER_NAME: c.ty
# VERSION: a5823bccd62df53d788c2446ed3c5e81614a564c
# NAME: THIGH
# PATIENT_ID: CL1VY220426
"slice"	"region"	"num_pix"	"B1_RATIO_REG_T2_MAP"	"surface_mm2"	"volume_mm3"
2	"GRA_L"	0	NaN	0	0
3	"GRA_L"	28	78.4825	54.88	548.8
4	"GRA_L"	41	88.4868	80.36	803.6
5	"GRA_L"	29	87.5552	56.84	568.4
6	"GRA_L"	34	92.3079	66.64	666.4
7	"GRA_L"	35	93.6604	68.6	686
8	"GRA_L"	0	NaN	0	0
9	"GRA_L"	0	NaN	0	0
1	"SM_L"	0	NaN	0	0
2	"SM_L"	0	NaN	0	0
3	"SM_L"	400	75.6931	784	7840
4	"SM_L"	340	80.7807	666.4	6664
5	"SM_L"	135	72.629	264.6	2646
6	"SM_L"	28	72.4707	54.88	548.8
7	"SM_L"	0	NaN	0	0
8	"SM_L"	0	NaN	0	0
9	"SM_L"	0	NaN	0	0
1	"ST_L"	0	NaN	0	0
2	"ST_L"	0	NaN	0	0
3	"ST_L"	87	79.2479	170.52	1705.2
4	"ST_L"	139	87.2072	272.44	2724.4
5	"ST_L"	165	84.7386	323.4	3234
6	"ST_L"	206	84.0871	403.76	4037.6
7	"ST_L"	247	79.3222	484.12	4841.2
8	"ST_L"	0	NaN	0	0
9	"ST_L"	0	NaN	0	0
1	"BF_L"	0	NaN	0	0
2	"BF_L"	0	NaN	0	0
3	"BF_L"	437	97.7953	856.52	8565.2
4	"BF_L"	433	104.019	848.68	8486.8
5	"BF_L"	431	102.78	844.76	8447.6
6	"BF_L"	272	102.041	533.12	5331.2
7	"BF_L"	202	99.0872	395.92	3959.2
8	"BF_L"	0	NaN	0	0
9	"BF_L"	0	NaN	0	0
1	"AM_L"	0	NaN	0	0
2	"AM_L"	0	NaN	0	0
3	"AM_L"	189	102.044	370.44	3704.4
4	"AM_L"	445	107.852	872.2	8722
5	"AM_L"	515	102.693	1009.4	10094
6	"AM_L"	570	100.296	1117.2	11172
7	"AM_L"	537	98.5829	1052.52	10525.2
8	"AM_L"	0	NaN	0	0
9	"AM_L"	0	NaN	0	0
1	"AL_L"	0	NaN	0	0
2	"AL_L"	0	NaN	0	0
3	"AL_L"	0	NaN	0	0
4	"AL_L"	0	NaN	0	0
5	"AL_L"	28	118.797	54.88	548.8
6	"AL_L"	114	114.219	223.44	2234.4
7	"AL_L"	293	109.727	574.28	5742.8
8	"AL_L"	0	NaN	0	0
9	"AL_L"	0	NaN	0	0
